Natlanguage_query,SQL_query
"DER26 Counts of genders, stratified by drug","SELECT p.gender_concept_id, t.drug_concept_id, count(1) AS count 
FROM cdm.drug_era t 
JOIN cdm.person p
    ON p.person_id = t.person_id
WHERE t.drug_concept_id IN (1300978, 1304643, 1549080)
    AND p.gender_concept_id IN (8507, 8532)
GROUP BY t.drug_concept_id, p.gender_concept_id
ORDER BY t.drug_concept_id, p.gender_concept_id;"
DEX01 Counts of persons with any number of exposures to a certain drug,"SELECT 
  c.concept_name AS drug_name, 
  drug_concept_id, 
  COUNT(person_id) AS num_persons 
FROM cdm.drug_exposure 
INNER JOIN cdm.concept c
ON drug_concept_id = c.concept_id
WHERE domain_id='Drug' 
      AND vocabulary_id='RxNorm' 
      AND standard_concept='S'
      AND drug_concept_id in (40165254, 40165258 ) --Input list of drug concept_id
GROUP BY c.concept_name, drug_concept_id;"
"DEX02 Counts of persons taking a drug, by age, gender, and year of exposure","SELECT concept_name AS drug_name,
    year_of_exposure,
    age,
    gender,
    count(*) AS num_persons
FROM (
    SELECT DISTINCT drug.concept_name,
        de.person_id,
        gender.concept_name AS gender,
        YEAR(drug_exposure_start_date) AS year_of_exposure,
        YEAR(drug_exposure_start_date) - year_of_birth AS age
    FROM cdm.drug_exposure de
    INNER JOIN cdm.person p ON de.person_id = p.person_id
    INNER JOIN cdm.concept drug ON drug.concept_id = drug_concept_id
    INNER JOIN cdm.concept gender ON gender.concept_id = gender_concept_id
    WHERE drug_concept_id IN (40165254, 40165258)
    ) EV
GROUP BY concept_name,
    gender,
    year_of_exposure,
    age
ORDER BY concept_name,
    year_of_exposure,
    age,
    gender;"
"DEX03 Distribution of age, stratified by drug","WITH first_exposure AS
  ( SELECT person_id, drug_concept_id, min(drug_exposure_start_date) as drug_exposure_start_date
    FROM cdm.drug_exposure
    WHERE drug_concept_id
       IN  /*crestor 20 and 40 mg tablets */
                    (40165254, 40165258)
    GROUP BY person_id, drug_concept_id                
  )
SELECT
  concept_name                                                           AS drug_name,
  ordered_data.drug_concept_id                                           AS drug_concept_id,
  COUNT(*)                                                               AS patient_count,
  MIN(age)                                                               AS min,
  MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE age END) AS percentile_25,
  round(avg(age), 2)                                                     AS mean,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE age END) AS median,
  MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE age END) AS percentile_75,
  max(age)                                                               AS max,
  round(STDEV(age), 1)                                                   AS STDEV
FROM
 ( SELECT
    drug_concept_id,
    YEAR(drug_exposure_start_date) - year_of_birth                                                                  AS age,
    ROW_NUMBER() OVER (PARTITION BY drug_concept_id ORDER BY (YEAR(drug_exposure_start_date) - year_of_birth)) AS order_nr
   FROM first_exposure
   INNER JOIN cdm.person
     ON first_exposure.person_id = person.person_id
 ) AS ordered_data
INNER JOIN
 ( SELECT
    drug_concept_id,
    COUNT(*) AS population_size
  FROM first_exposure
  GROUP BY drug_concept_id
 ) AS population_sizes
ON ordered_data.drug_concept_id = population_sizes.drug_concept_id
  JOIN cdm.concept ON concept_id = population_sizes.drug_concept_id
GROUP BY concept_name, ordered_data.drug_concept_id
ORDER BY ordered_data.drug_concept_id DESC;"
DEX04 Distribution of gender in persons taking a drug,"SELECT drug.concept_name AS drug_name,
    drug_concept_id,
    gender.concept_name AS gender,
    count(DISTINCT de.person_id) AS num_persons
FROM cdm.drug_exposure de
INNER JOIN cdm.person p ON de.person_id = p.person_id
INNER JOIN cdm.concept drug ON drug.concept_id = drug_concept_id
INNER JOIN cdm.concept gender ON gender.concept_id = gender_concept_id
WHERE drug_concept_id IN (40165254, 40165258)
GROUP BY drug.concept_name,
    drug_concept_id,
    gender.concept_name
ORDER BY drug_name,
    drug_concept_id,
    gender;"
DEX05 Counts of drug records for a particular drug,"SELECT
  concept_name      AS drug_name,
  drug_concept_id,
  COUNT(*)          AS num_records
FROM cdm.drug_exposure
INNER JOIN cdm.concept
ON concept_id = drug_concept_id
WHERE LOWER(domain_id)='drug'
      AND vocabulary_id='RxNorm'
      -- Retrieve standard concepts
      AND standard_concept='S'
      -- List of input drug_concept_id
      AND drug_concept_id IN (40165254,40165258)
GROUP BY concept_name, drug_concept_id;"
DEX06 Counts of distinct drugs in the database,"SELECT
  COUNT(DISTINCT drug_concept_id) AS number_drugs
FROM cdm.drug_exposure
INNER JOIN cdm.concept
ON concept_id = drug_concept_id
WHERE LOWER(domain_id)='drug'
      AND vocabulary_id='RxNorm'
      AND standard_concept='S';"
DEX07 Maximum number of drug exposure events per person over some time period,"SELECT max(exposures) AS exposures_count
FROM (
    SELECT drug_exposure.person_id,
        COUNT(*) exposures
    FROM cdm.drug_exposure
    INNER JOIN cdm.person ON drug_exposure.person_id = person.person_id
    WHERE drug_concept_id IN (
            SELECT DISTINCT concept_id
            FROM cdm.concept
            WHERE domain_id = 'Drug'
                AND standard_concept = 'S'
            )
        AND drug_exposure_start_date >= DATEFROMPARTS(2017, 01, 01)
        AND drug_exposure_start_date <= DATEFROMPARTS(2017, 12, 31)
    GROUP BY drug_exposure.person_id
    ) EV;"
DEX08 Maximum number of distinct drugs per person over some time period,"select max(drugs) as drugs_count from
(SELECT
COUNT( DISTINCT drug_concept_id) drugs
FROM cdm.drug_exposure JOIN cdm.person
ON drug_exposure.person_id = person.person_id
WHERE
drug_concept_id in (select distinct concept_id from cdm.concept
                        WHERE domain_id='Drug' and standard_concept='S')
 AND drug_exposure_start_date >= DATEFROMPARTS(2017, 01, 01)
AND drug_exposure_start_date <= DATEFROMPARTS(2017, 12, 31)
GROUP BY drug_exposure.person_id) EV;"
DEX09 Distribution of distinct drugs per person over some time period,"WITH drug_counts
AS (
    SELECT DE.person_id,
        COALESCE(drugs, 0) AS drugs
    FROM cdm.person p
    LEFT JOIN (
        SELECT person_id,
            COUNT(DISTINCT drug_concept_id) AS drugs
        FROM cdm.drug_exposure
        WHERE drug_exposure_start_date >= DATEFROMPARTS(2017, 01, 01)
            AND drug_exposure_start_date <= DATEFROMPARTS(2017, 12, 31)
        GROUP BY person_id
        ) DE ON DE.person_id = p.person_id
    )
SELECT MIN(drugs) AS min,
    MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE drugs END) AS percentile_25,
    ROUND(CAST(AVG(drugs) AS NUMERIC), 2) AS mean,
    MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE drugs END) AS median,
    MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE drugs END) AS percentile_75,
    MAX(drugs) AS max,
    ROUND(CAST(STDEV(drugs) AS NUMERIC), 1) AS STDEV
FROM (
    SELECT person_id,
        drugs,
        ROW_NUMBER() OVER (
            ORDER BY drugs
            ) AS order_nr
    FROM drug_counts
    ) AS ordered_data
CROSS JOIN (
    SELECT count(*) AS population_size
    FROM drug_counts
    ) AS population;"
DEX10 Other drugs (conmeds) patients exposed to a certain drug take over some time period,"SELECT concept_name AS drug_name,
    COUNT(1) AS persons
FROM (
    --Other drugs people are taking
    SELECT DISTINCT cohort.person_id,
        drug.drug_concept_id
    FROM (
        --person with specific drug in time frame
        SELECT DISTINCT person_id,
            drug_concept_id,
            from_date,
            to_date
        FROM cdm.drug_exposure
        INNER JOIN (
            --date range
            SELECT DATEFROMPARTS(2008, 01, 01) AS from_date,
                DATEFROMPARTS(2008, 12, 31) AS to_date
            ) dates ON drug_exposure_start_date BETWEEN from_date
                AND to_date
        WHERE drug_concept_id IN /*bortezomib, Thalidomide 50 mg capsules */ (1336825, 19047763)
        ) cohort
    INNER JOIN cdm.drug_exposure drug ON drug.person_id = cohort.person_id
        AND drug.drug_concept_id != cohort.drug_concept_id
        AND drug.drug_exposure_start_date >= start_date AND drug.drug_exposure_start_date <= to_date
    WHERE drug.drug_concept_id != 0 /* unmapped drug */
    ) events
INNER JOIN cdm.concept ON concept_id = drug_concept_id
GROUP BY concept_name
ORDER BY persons DESC;"
DEX11 Distribution of brands used for a given generic drug,"SELECT drug_name,
       brand_name,
       100.00*cn_3_02/SUM(cn_3_02) OVER() AS perc_brand_count
  FROM (
SELECT A.concept_name  AS drug_name,
       D.concept_name  AS brand_name,
       COUNT(*)        AS cn_3_02
  FROM cdm.concept AS A
  JOIN cdm.concept_relationship AS CR003
    ON CR003.concept_id_1        = A.concept_id
  JOIN cdm.concept_relationship AS CR007
    ON CR007.concept_id_2        = CR003.concept_id_2
  JOIN cdm.concept_relationship AS CR006
    ON CR007.concept_id_1        = CR006.concept_id_1
  JOIN cdm.concept D
    ON CR006.concept_id_2        = D.concept_id
  LEFT JOIN cdm.drug_exposure de
    ON de.drug_concept_id        = cr003.concept_id_2
 WHERE CR003.relationship_ID     = 'Has tradename'
   AND A.concept_class_id        = 'Clinical Drug'
   AND CR007.relationship_ID     = 'Constitutes'
   AND CR006.relationship_ID     = 'Has brand name'
   AND D.concept_class_id        = 'Brand Name'
   AND A.concept_id              = 35606533
 GROUP BY A.concept_name, D.concept_name
       ) TMP;"
DEX12 Distribution of forms used for a given ingredient,"SELECT form_name,
       100.00 * cn / SUM(cn) OVER() AS percent_forms
  FROM (
SELECT drugform.concept_name AS form_name,
       COUNT(*)              AS cn
  FROM cdm.concept ingredient
  JOIN cdm.concept_ancestor a
    ON ingredient.concept_id = a.ancestor_concept_id
  JOIN cdm.concept drug
    ON a.descendant_concept_id = drug.concept_id
  JOIN cdm.concept_relationship r
    ON drug.concept_id = r.concept_id_1
  JOIN cdm.concept drugform
    ON r.concept_id_2 = drugform.concept_id
 WHERE ingredient.concept_id        = 1125315 --Acetaminophen
   AND ingredient.concept_class_id  = 'Ingredient'
   AND drug.standard_concept        = 'S'
   AND drugform.concept_class_id    = 'Dose Form'
 GROUP BY drugform.concept_name
HAVING COUNT(*) > 0
       ) TMP
 ORDER BY percent_forms desc;"
DEX13 Distribution of provider specialities prescribing a given drug,"SELECT c.concept_name AS specialty,
       COUNT(*)       AS prescriptions_count
  FROM cdm.drug_exposure drug
  JOIN cdm.provider p
    ON p.provider_id = drug.provider_id
  JOIN cdm.concept c
    ON c.concept_id  = p.specialty_concept_id
 WHERE c.vocabulary_id           = 'Specialty'
   AND drug.drug_concept_id      = 2213473  /* Influenza virus vaccine */
   AND c.standard_concept  = 'S'
 GROUP BY c.concept_name
 ORDER BY prescriptions_count desc;"
"DEX14 Among people who take drug A, how many take drug B at the same time?","WITH statins AS (
SELECT descendant_concept_id AS concept_id
  FROM cdm.concept_ancestor
 WHERE ancestor_concept_id = 1539403
), diuretics AS (
SELECT descendant_concept_id AS concept_id
  FROM cdm.concept_ancestor
 WHERE ancestor_concept_id = 974166
)
SELECT COUNT(DISTINCT de1.person_id) AS num_users,
       COUNT(DISTINCT de2.person_id) AS also_bp
  FROM cdm.drug_exposure de1
  JOIN statins s
    ON de1.drug_concept_id = s.concept_id
  JOIN cdm.drug_exposure de2
    ON de1.person_id = de2.person_id
  LEFT JOIN diuretics d
    ON de2.drug_concept_id = d.concept_id
   AND de2.drug_exposure_start_date < de1.drug_exposure_end_date
   AND de2.drug_exposure_end_date   > de1.drug_exposure_start_date;"
DEX15 Number of persons taking a given drug having at least a 180 day period prior and a 365 day follow-up period,"WITH statins AS (
SELECT descendant_concept_id AS concept_id
  FROM cdm.concept_ancestor
 WHERE ancestor_concept_id = 1539403
), statin_users AS (
SELECT de.person_id, MIN(de.drug_exposure_start_date) AS index_date
  FROM cdm.drug_exposure de
  JOIN statins s
    ON de.drug_concept_id = s.concept_id
 GROUP BY de.person_id
)    
SELECT FLOOR(1.0*DATEDIFF(d,su.index_date,op.observation_period_end_date)/365) AS follow_up_years,
       COUNT(*) AS persons
       /* statin users with 180 clean period and at least 1 year follow up period */
  FROM statin_users su
  JOIN cdm.observation_period op
    ON su.person_id  = op.person_id
 WHERE DATEADD(d,180,op.observation_period_start_date) < su.index_date
   AND op.observation_period_end_date                  > DATEADD(d,365,su.index_date)
 GROUP BY FLOOR(1.0*DATEDIFF(d,su.index_date,op.observation_period_end_date)/365)
 ORDER BY 1;"
DEX16 Adherence/compliance - what is adherence rate for given drug?,"WITH finasteride_users AS (
SELECT de.person_id, de.days_supply, de.drug_exposure_start_date, c.concept_name
  FROM cdm.drug_exposure de
  JOIN cdm.concept_ancestor ca
    ON ca.descendant_concept_id = de.drug_concept_id
  JOIN cdm.concept c
    ON c.concept_id = ca.ancestor_concept_id
 WHERE LOWER(c.concept_class_id) = 'ingredient'
   AND ca.ancestor_concept_id = 996416
), era_data AS (
SELECT de.person_id,
       de.drug_concept_id AS ingredient_concept_id,
       fu.concept_name,
       de.drug_era_start_date,
       de.drug_era_end_date,
       DATEDIFF(d,de.drug_era_start_date,de.drug_era_end_date) AS treatment_length,
       fu.drug_exposure_start_date,
       fu.days_supply,
       SIGN(ISNULL(fu.days_supply,0)) has_days_supply
  FROM cdm.drug_era de
  JOIN finasteride_users fu
    ON de.person_id = fu.person_id
   AND fu.drug_exposure_start_date >= de.drug_era_start_date
   AND fu.drug_exposure_start_date <= de.drug_era_end_date
 WHERE de.drug_concept_id = 996416
   AND SIGN(ISNULL(fu.days_supply,0)) > 0
   AND DATEDIFF(d,de.drug_era_start_date,de.drug_era_end_date) > 100   
)
SELECT concept_name          AS drug_name,
       COUNT(*)              AS number_of_eras,
       AVG(treatment_length) AS average_treatment_length_count,
       AVG(adherence)        AS avgerage_adherence_count
  FROM (
SELECT person_id,
       concept_name,
       drug_era_start_date,
       SUM(days_supply) AS days_supply,
       treatment_length,
       1.0*SUM(days_supply)/treatment_length AS adherence,
       MIN(has_days_supply) AS has_days_supply    
  FROM era_data
 GROUP BY person_id,concept_name,drug_era_start_date,treatment_length
       ) TMP
 GROUP BY concept_name;"
DEX17 Why do people stop treatment?,"SELECT stop_reason, COUNT(*) AS reason_freq
  FROM cdm.drug_exposure
 WHERE stop_reason IS NOT null
 GROUP BY stop_reason
 ORDER BY reason_freq DESC;"
DEX18 What is the distribution of DRUG TYPE CONCEPT ID (modes of distribution) for a given drug?,"SELECT c.concept_name AS drug_type, COUNT(*) AS drug_type_count
  FROM cdm.drug_exposure de
  JOIN cdm.concept c
    ON c.concept_id = de.drug_type_concept_id
 GROUP BY c.concept_name
 ORDER BY drug_type_count DESC;"
DEX19 How many people are taking a drug for a given indication?,"/* indication and associated drug ids */
SELECT c1.concept_name AS indication, COUNT(DISTINCT de.person_id) AS count_value
  FROM cdm.concept c1
  JOIN cdm.concept_ancestor ca
    ON ca.ancestor_concept_id = c1.concept_id
  JOIN cdm.drug_exposure de
    ON ca.descendant_concept_id = de.drug_concept_id
  JOIN cdm.concept c2
    ON de.drug_concept_id  = c2.concept_id
 WHERE c1.concept_name     = 'Tuberculosis'   
   AND c1.concept_class_id = 'Ind / CI'
   AND c2.domain_id        = 'Drug'
   AND c2.vocabulary_id    = 'RxNorm'
   AND c2.standard_concept = 'S'
 GROUP BY c1.concept_name;  "
DEX20 How many people taking a drug for a given indicaton actually have that disease in their record prior to exposure?,"WITH tb_treatment_start AS (
/* person and tuberculosis treatment start date */
SELECT de.person_id, MIN(de.drug_exposure_start_date) AS treatment_start
  FROM cdm.concept c1
  JOIN cdm.concept_ancestor ca
    ON ca.ancestor_concept_id = c1.concept_id
  JOIN cdm.drug_exposure de
    ON ca.descendant_concept_id = de.drug_concept_id
  JOIN cdm.concept c2
    ON de.drug_concept_id  = c2.concept_id
 WHERE c1.concept_name     = 'Tuberculosis'   
   AND c1.concept_class_id = 'Ind / CI'
   AND c2.domain_id        = 'Drug'
   AND c2.vocabulary_id    = 'RxNorm'
   AND c2.standard_concept = 'S'
 GROUP BY de.person_id
), tb_first_diagnosis AS (
SELECT co.person_id, MIN(co.condition_start_date) AS first_diagnosis  
  FROM cdm.concept c
  JOIN cdm.concept_ancestor ca
    ON ca.ancestor_concept_id = c.concept_id
  JOIN cdm.condition_occurrence co
    ON co.condition_concept_id = ca.descendant_concept_id  
 WHERE c.concept_name = 'Tuberculosis'
 GROUP BY co.person_id
)
SELECT COUNT(*) AS treated
  FROM tb_treatment_start tss
  JOIN tb_first_diagnosis tfd
    ON tss.person_id = tfd.person_id
   AND tss.treatment_start >= tfd.first_diagnosis;"
DEX21 How many people have a diagnosis of a contraindication for the drug they are taking?,"WITH con_rel AS (
SELECT r1.concept_id_1,
       r2.concept_id_2
  FROM cdm.concept_relationship AS r1
  JOIN cdm.concept_relationship r2
    ON r2.concept_id_1    = r1.concept_id_2
 WHERE r1.relationship_id = 'Has CI'
   AND r2.relationship_id = 'Ind/CI - SNOMED'
)
SELECT COUNT(DISTINCT d.person_id) AS count_value
  FROM con_rel cr
  JOIN cdm.drug_exposure d
    ON cr.concept_id_1 = d.drug_concept_id
  JOIN cdm.condition_occurrence c
    ON cr.concept_id_2  = c.condition_concept_id
   AND d.person_id      = c.person_id
 WHERE d.drug_exposure_start_date >= c.condition_start_date"
DEX22 How many poeple take a drug in a given class?,"SELECT COUNT(DISTINCT d.person_id) AS person_count
  FROM cdm.concept_ancestor ca
  JOIN cdm.drug_exposure d
    ON d.drug_concept_id = ca.descendant_concept_id
 WHERE ca.ancestor_concept_id = 4324992
 GROUP BY ca.ancestor_concept_id;"
DEX23 Distribution of days supply,"WITH days_supply_freq AS (
SELECT days_supply, COUNT(*) AS num_occurrences
  FROM cdm.drug_exposure
 WHERE days_supply > 0
   AND YEAR(drug_exposure_start_date)  = 2008
   AND MONTH(drug_exposure_start_date) = 1
 GROUP BY days_supply
), ordered_data AS (
SELECT days_supply, num_occurrences,
       ROW_NUMBER()OVER(ORDER BY num_occurrences) order_nr,
       COUNT(*)OVER() population_size,
       MIN(days_supply)OVER() AS min_value,
       MAX(days_supply)OVER() AS max_value,
       ROUND(AVG(1.0*days_supply)OVER(),0) AS avg_value,    
       ROUND(STDEV(days_supply)OVER(),0)   AS stdev_value
  FROM days_supply_freq
)
SELECT min_value,max_value,avg_value,stdev_value,
       MAX(CASE WHEN order_nr = CEILING(population_size *.25) THEN days_supply END) AS pct_25,
       MAX(CASE WHEN order_nr = CEILING(population_size *.50) THEN days_supply END) AS median,
       MAX(CASE WHEN order_nr = CEILING(population_size *.75) THEN days_supply END) AS pct_75
  FROM ordered_data
 GROUP BY min_value,max_value,avg_value,stdev_value;"
DEX24 Counts of days supply,"SELECT days_supply, COUNT(*) AS cnt
  FROM cdm.drug_exposure
 GROUP BY days_supply
 ORDER BY days_supply;"
DEX25 Counts of drug records,"SELECT COUNT(*) as exposure_occurrence_count  
  FROM cdm.drug_exposure
 WHERE drug_concept_id IN (906805, 1517070, 19010522);"
DEX26 Distribution of drug exposure end dates,"WITH dexp_end_dates AS
( SELECT
    DATEDIFF(d,(SELECT MIN(drug_exposure_end_date) FROM cdm.drug_exposure), drug_exposure_end_date) AS end_date_num,
    drug_exposure_end_date                                                                           AS end_date,
    (SELECT MIN(drug_exposure_end_date) FROM cdm.drug_exposure)                                     AS min_date
  FROM cdm.drug_exposure
)
SELECT
  min(end_date)                                                                                             AS min_date,
  max(end_date)                                                                                             AS max_date,
  dateadd(dd, avg(CAST(end_date_num AS BIGINT)), min_date)                                                                  AS avg_date,
  round(STDEV(end_date_num), 0)                                                                             AS stdev_days,
  dateadd(dd,  MIN(CASE WHEN order_nr < .25 * population_size THEN 999999 ELSE end_date_num END), min_date) AS percentile_25_date,
  dateadd(dd,  MIN(CASE WHEN order_nr < .50 * population_size THEN 999999 ELSE end_date_num END), min_date) AS median_date,
  dateadd(dd,  MIN(CASE WHEN order_nr < .75 * population_size THEN 999999 ELSE end_date_num END), min_date) AS percentile_75_date
FROM
 ( SELECT
    end_date_num,                                                              
    end_date,
    min_date,
    ROW_NUMBER() OVER ( ORDER BY end_date_num)      AS  order_nr,
    (SELECT COUNT(*) FROM dexp_end_dates)           AS population_size
  FROM dexp_end_dates
) AS ordered_data
GROUP BY min_date;"
DEX27 Distribution of drug exposure start dates,"WITH dexp_start_dates AS
( SELECT
    DATEDIFF(d,(SELECT MIN(drug_exposure_start_date) FROM cdm.drug_exposure), drug_exposure_start_date) AS start_date_num,
    drug_exposure_start_date                                                                             AS start_date,
    (SELECT MIN(drug_exposure_start_date) FROM cdm.drug_exposure)                                       AS min_date
  FROM cdm.drug_exposure
)
SELECT
  min(start_date)                                                                                             AS min_date,
  max(start_date)                                                                                             AS max_date,
  dateadd(dd, avg(CAST(start_date_num AS BIGINT)), min_date)                                                                  AS avg_date,
  round(STDEV(start_date_num), 0)                                                                             AS stdev_days,
  dateadd(dd,  MIN(CASE WHEN order_nr < .25 * population_size THEN 99999999 ELSE start_date_num END), min_date) AS percentile_25_date,
  dateadd(dd,  MIN(CASE WHEN order_nr < .50 * population_size THEN 99999999 ELSE start_date_num END), min_date) AS median_date,
  dateadd(dd,  MIN(CASE WHEN order_nr < .75 * population_size THEN 99999999 ELSE start_date_num END), min_date) AS percentile_75_date
FROM
 ( SELECT
    start_date_num,                                                              
    start_date,
    min_date,
    ROW_NUMBER() OVER ( ORDER BY start_date_num)      AS  order_nr,
    (SELECT COUNT(*) FROM dexp_start_dates)           AS population_size
  FROM dexp_start_dates
) AS ordered_data
GROUP BY min_date;"
DEX28 Counts of drug types,"SELECT
  drug_type_concept_id AS drug_type_concept_id,
  count(*)             AS exposure_occurrence_count
FROM cdm.drug_exposure
WHERE
  drug_concept_id IN (SELECT DISTINCT drug_concept_id FROM cdm.drug_era)
  AND drug_type_concept_id IN (38000175, 38000180, 43542356)
GROUP BY drug_type_concept_id
;"
DEX29 Distribution of number of distinct drugs persons take,"SELECT
    MIN(stat_value)                                                                    AS min_value,
    MAX(stat_value)                                                                    AS max_value,
    ROUND(AVG(stat_value), 1)                                                          AS avg_value,
    ROUND(STDEV(stat_value), 1)                                                        AS STDEV_value,
    MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE stat_value END)      AS percentile_25,
    MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE stat_value END)      AS median_value,
    MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE stat_value END)      AS percentile_75

FROM (
  SELECT
    COUNT(DISTINCT drug_concept_id)                                 AS stat_value,
    ROW_NUMBER() OVER (ORDER BY count(DISTINCT drug_concept_id) )   AS order_nr,
    (SELECT COUNT(DISTINCT person_id) FROM cdm.drug_exposure )     AS population_size
  FROM cdm.drug_exposure
  GROUP BY person_id
) ordered_data;"
DEX30 Counts of number of distinct drugs persons take,"SELECT
  t.person_id,
  count(DISTINCT t.drug_concept_id) AS n_distinct_drugs
FROM cdm.drug_exposure t
GROUP BY t.person_id
HAVING count(DISTINCT t.drug_concept_id) > 10
;"
DEX31 Distribution of drug exposure records per person,"SELECT
    MIN(stat_value)                                                                    AS min_value,
    MAX(stat_value)                                                                    AS max_value,
    ROUND(AVG(stat_value), 1)                                                          AS avg_value,
    ROUND(STDEV(stat_value), 1)                                                        AS STDEV_value,
    MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE stat_value END)      AS percentile_25,
    MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE stat_value END)      AS median_value,
    MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE stat_value END)      AS percentile_75

FROM (
  SELECT
    COUNT(*)                                                        AS stat_value,
    ROW_NUMBER() OVER (ORDER BY count(*) )                          AS order_nr,
    (SELECT COUNT(DISTINCT person_id) FROM cdm.drug_exposure )     AS population_size
  FROM cdm.drug_exposure
  GROUP BY person_id
) ordered_data;"
DEX32 Counts of drug exposure records per person,"SELECT
  person_id,
  count(*) AS exposure_count
FROM cdm.drug_exposure
GROUP BY person_id
HAVING count(*) in (3,4)
;"
DEX33 Counts of drug exposure records stratified by observation month,"SELECT
  MONTH(drug_exposure_start_date) AS month_num,
  COUNT(*) AS                       exp_in_month_count
FROM cdm.drug_exposure
WHERE MONTH(drug_exposure_start_date) IN (3, 5)
GROUP BY MONTH(drug_exposure_start_date)
ORDER BY month_num
;"
DEX34 Distribution of drug quantity,"SELECT
    MIN(stat_value)                                                                    AS min_value,
    MAX(stat_value)                                                                    AS max_value,
    AVG(stat_value)                                                                    AS avg_value,
    ROUND(STDEV(stat_value), 1)                                                        AS STDEV_value,
    MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE stat_value END)      AS percentile_25,
    MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE stat_value END)      AS median_value,
    MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE stat_value END)      AS percentile_75

FROM (
  SELECT
    quantity                                                     AS stat_value,
    ROW_NUMBER() OVER (ORDER BY quantity)                        AS order_nr,
    (SELECT COUNT(*) FROM cdm.drug_exposure WHERE quantity > 0) AS population_size
  FROM cdm.drug_exposure
  -- Retrieve only positive quantities
  WHERE quantity > 0
) ordered_data;"
DEX35 Counts of drug quantity,"SELECT
  COUNT(1) AS drug_quantity_count,
  quantity
FROM cdm.drug_exposure
-- List of input numbers
WHERE quantity in (10, 20)
GROUP BY quantity;"
DEX36 Distribution of drug refills,"SELECT
    MIN(stat_value)                                                                    AS min_value,
    MAX(stat_value)                                                                    AS max_value,
    AVG(stat_value)                                                                    AS avg_value,
    ROUND(STDEV(stat_value), 1)                                                        AS STDEV_value,
    MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE stat_value END)      AS percentile_25,
    MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE stat_value END)      AS median_value,
    MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE stat_value END)      AS percentile_75

FROM (
  SELECT
    refills                                                     AS stat_value,
    ROW_NUMBER() OVER (ORDER BY refills)                        AS order_nr,
    (SELECT COUNT(*) FROM cdm.drug_exposure WHERE refills > 0) AS population_size
  FROM cdm.drug_exposure
  -- Retrieve only positive quantities
  WHERE refills > 0
) ordered_data;"
DEX37 Counts of drug refills,"SELECT
  COUNT(1)  AS drug_exposure_count,
  refills   AS refills_count
FROM cdm.drug_exposure
-- Filter by input list of refills
WHERE refills in (10, 20)
GROUP BY refills;"
DEX38 Counts of stop reasons,"SELECT
  COUNT(1) AS totExp,
  stop_reason
FROM cdm.drug_exposure
-- Filter by input list of stop reasons
WHERE stop_reason IN ('INVALID')
GROUP BY stop_reason;"
"DEX39 Counts of drugs, stratified by drug type","SELECT
  drug_concept_id,
  drug_type_concept_id,
  COUNT(1) AS drugs_count
FROM cdm.drug_exposure
      -- Filter by input list of drug_concept_id
WHERE drug_concept_id IN (906805, 1517070, 19010522)
      -- Filter by input list of drug_type_concept_id
      AND drug_type_concept_id IN (38000175,38000179)
GROUP BY drug_type_concept_id, drug_concept_id;"
"DEX40 Counts of drugs, stratified by relevant condition","SELECT
  drug_concept_id,
  condition_concept_id  AS relevant_condition_concept_id,
  COUNT(1)              AS drugs_count
FROM cdm.drug_exposure
INNER JOIN cdm.condition_occurrence
ON drug_exposure.visit_occurrence_id = condition_occurrence.visit_occurrence_id
   AND       drug_exposure.person_id = condition_occurrence.person_id
      -- Filter by input drug_concept_id
WHERE drug_concept_id in (906805, 1517070, 19010522)
      -- filter by input condition_concept_id
      AND condition_concept_id in (26052, 258375)
GROUP BY condition_concept_id, drug_concept_id;"
